video,track_id,seg_id,bucket,length_frames,duration_s,status,id_before,id_after,recall_during,gt_track_len,occlusion_level,tracker
MVI_40171,8,5,medium,18,0.72,preserved,45.0,45.0,1.0,726,partial,UKF init=0.10 (goc)
MVI_40171,8,6,short,12,0.48,preserved,45.0,45.0,1.0,726,partial,UKF init=0.10 (goc)
MVI_40171,8,7,medium,32,1.28,switched,45.0,179.0,1.0,726,partial,UKF init=0.10 (goc)
MVI_40171,8,8,medium,28,1.12,preserved,45.0,45.0,1.0,726,partial,UKF init=0.10 (goc)
MVI_40171,8,9,medium,16,0.64,preserved,45.0,45.0,1.0,726,partial,UKF init=0.10 (goc)
MVI_40171,9,1,short,10,0.4,preserved,52.0,52.0,0.9,61,partial,UKF init=0.10 (goc)
MVI_40171,11,0,medium,27,1.08,preserved,59.0,59.0,1.0,91,partial,UKF init=0.10 (goc)
MVI_40171,12,0,long,61,2.44,no_before,,,0.459,61,partial,UKF init=0.10 (goc)
MVI_40171,14,0,medium,31,1.24,switched,92.0,100.0,0.7742,86,partial,UKF init=0.10 (goc)
MVI_40171,15,0,long,66,2.64,no_before,,,0.5152,66,partial,UKF init=0.10 (goc)
MVI_40171,16,0,long,61,2.44,no_before,,,0.8361,61,partial,UKF init=0.10 (goc)
MVI_40171,17,0,short,11,0.44,no_before,,,0.2727,76,partial,UKF init=0.10 (goc)
MVI_40171,18,0,long,209,8.36,switched,151.0,193.0,0.1196,786,partial,UKF init=0.10 (goc)
MVI_40171,18,1,short,11,0.44,preserved,193.0,193.0,0.7273,786,partial,UKF init=0.10 (goc)
MVI_40171,18,2,short,4,0.16,preserved,193.0,193.0,1.0,786,partial,UKF init=0.10 (goc)
MVI_40171,18,3,short,4,0.16,preserved,193.0,193.0,0.5,786,partial,UKF init=0.10 (goc)
MVI_40171,18,4,short,4,0.16,preserved,193.0,193.0,1.0,786,partial,UKF init=0.10 (goc)
MVI_40171,19,0,long,61,2.44,no_before,,,0.8361,61,partial,UKF init=0.10 (goc)
MVI_40171,22,0,long,69,2.76,lost,167.0,,0.7826,71,partial,UKF init=0.10 (goc)
MVI_40171,23,0,long,62,2.48,preserved,187.0,187.0,0.8387,66,partial,UKF init=0.10 (goc)
MVI_40171,25,0,long,66,2.64,no_before,,,0.7424,66,partial,UKF init=0.10 (goc)
MVI_40171,26,0,long,47,1.88,no_before,,,0.8298,56,partial,UKF init=0.10 (goc)
MVI_40171,27,0,medium,30,1.2,no_before,,,0.3667,76,partial,UKF init=0.10 (goc)
MVI_40171,28,0,medium,21,0.84,no_before,,,0.9048,76,partial,UKF init=0.10 (goc)
MVI_40171,29,0,long,53,2.12,no_before,,,0.7358,56,partial,UKF init=0.10 (goc)
MVI_40171,31,0,medium,26,1.04,preserved,281.0,281.0,1.0,96,partial,UKF init=0.10 (goc)
MVI_40171,34,0,long,66,2.64,lost,319.0,,0.8788,71,partial,UKF init=0.10 (goc)
MVI_40171,35,0,long,62,2.48,preserved,327.0,327.0,0.871,76,partial,UKF init=0.10 (goc)
MVI_40171,36,0,long,66,2.64,no_before,,,0.6364,66,partial,UKF init=0.10 (goc)
MVI_40171,38,0,short,8,0.32,no_before,,,0.0,185,partial,UKF init=0.10 (goc)
MVI_40171,39,0,long,70,2.8,lost,378.0,,0.7571,71,partial,UKF init=0.10 (goc)
MVI_40171,40,0,medium,23,0.92,lost,400.0,,1.0,45,partial,UKF init=0.10 (goc)
MVI_40171,41,0,long,99,3.96,switched,6.0,300.0,0.101,1150,partial,UKF init=0.10 (goc)
MVI_40171,41,1,long,52,2.08,switched,300.0,402.0,0.0769,1150,partial,UKF init=0.10 (goc)
MVI_40171,42,0,long,1150,46.0,no_before,,,0.0,1150,partial,UKF init=0.10 (goc)
MVI_40171,43,0,long,1150,46.0,no_before,,,0.0,1150,partial,UKF init=0.10 (goc)
MVI_40171,44,0,long,1150,46.0,no_before,,,0.0,1150,partial,UKF init=0.10 (goc)
MVI_40172,16,0,long,180,7.2,no_before,,,0.0111,227,partial,UKF init=0.10 (goc)
MVI_40172,35,0,long,39,1.56,no_before,,,0.8974,46,partial,UKF init=0.10 (goc)
MVI_40172,36,0,medium,37,1.48,no_before,,,0.973,41,partial,UKF init=0.10 (goc)
MVI_40172,40,0,medium,29,1.16,preserved,518.0,518.0,0.5517,71,partial,UKF init=0.10 (goc)
MVI_40172,41,0,long,39,1.56,lost,522.0,,0.4615,41,partial,UKF init=0.10 (goc)
MVI_40172,47,0,long,48,1.92,lost,556.0,,0.8958,51,partial,UKF init=0.10 (goc)
MVI_40172,50,0,long,51,2.04,no_before,,,0.7451,51,partial,UKF init=0.10 (goc)
MVI_40172,51,0,short,10,0.4,switched,570.0,573.0,0.5,81,partial,UKF init=0.10 (goc)
MVI_40172,56,0,medium,28,1.12,lost,602.0,,1.0,61,partial,UKF init=0.10 (goc)
MVI_40172,57,0,medium,37,1.48,preserved,608.0,608.0,1.0,51,partial,UKF init=0.10 (goc)
MVI_40172,60,0,long,44,1.76,preserved,622.0,622.0,0.7955,66,partial,UKF init=0.10 (goc)
MVI_40172,61,0,medium,13,0.52,preserved,623.0,623.0,1.0,36,partial,UKF init=0.10 (goc)
MVI_40172,63,0,long,46,1.84,no_before,,,0.7391,46,partial,UKF init=0.10 (goc)
MVI_40172,65,0,medium,29,1.16,switched,641.0,664.0,0.4483,46,partial,UKF init=0.10 (goc)
MVI_40172,67,0,medium,31,1.24,no_before,,,0.6774,41,partial,UKF init=0.10 (goc)
MVI_40172,79,0,long,114,4.56,no_before,,,0.0526,201,partial,UKF init=0.10 (goc)
MVI_40172,95,0,long,40,1.6,lost,847.0,,0.85,41,partial,UKF init=0.10 (goc)
MVI_40172,96,0,long,50,2.0,no_before,,,0.88,50,partial,UKF init=0.10 (goc)
MVI_40172,99,0,long,50,2.0,switched,2.0,56.0,0.12,2635,partial,UKF init=0.10 (goc)
MVI_40172,99,1,long,74,2.96,switched,56.0,243.0,0.0946,2635,partial,UKF init=0.10 (goc)
MVI_40172,99,2,long,40,1.6,switched,243.0,812.0,0.125,2635,partial,UKF init=0.10 (goc)
MVI_40172,100,0,long,2635,105.4,no_before,,,0.0,2635,partial,UKF init=0.10 (goc)
MVI_40172,101,0,long,2635,105.4,no_before,,,0.0,2635,partial,UKF init=0.10 (goc)
MVI_40172,102,0,long,2635,105.4,no_before,,,0.0,2635,partial,UKF init=0.10 (goc)
MVI_40172,105,0,long,52,2.08,switched,3.0,65.0,0.0385,2635,partial,UKF init=0.10 (goc)
MVI_40172,105,1,long,45,1.8,switched,65.0,230.0,0.0222,2635,partial,UKF init=0.10 (goc)
MVI_40172,105,2,medium,21,0.84,no_before,,,0.0,2635,partial,UKF init=0.10 (goc)
MVI_40172,105,3,long,39,1.56,switched,437.0,819.0,0.2051,2635,partial,UKF init=0.10 (goc)
MVI_40204,6,0,long,86,3.44,no_before,,,0.2442,86,partial,UKF init=0.10 (goc)
MVI_40204,9,0,long,66,2.64,no_before,,,0.0,66,partial,UKF init=0.10 (goc)
MVI_40204,10,0,medium,32,1.28,lost,9.0,,0.375,76,partial,UKF init=0.10 (goc)
MVI_40204,11,0,medium,31,1.24,switched,11.0,70.0,0.3871,66,partial,UKF init=0.10 (goc)
MVI_40204,12,0,medium,16,0.64,no_before,,,0.375,16,partial,UKF init=0.10 (goc)
MVI_40204,15,0,long,136,5.44,no_before,,,0.6618,136,partial,UKF init=0.10 (goc)
MVI_40204,27,0,long,111,4.44,no_before,,,0.7928,111,partial,UKF init=0.10 (goc)
MVI_40204,30,0,long,71,2.84,lost,132.0,,0.1831,141,partial,UKF init=0.10 (goc)
MVI_40204,34,0,short,3,0.12,preserved,143.0,143.0,0.6667,116,partial,UKF init=0.10 (goc)
MVI_40204,34,1,medium,25,1.0,lost,143.0,,0.24,116,partial,UKF init=0.10 (goc)
MVI_40204,34,2,medium,25,1.0,lost,143.0,,0.0,116,partial,UKF init=0.10 (goc)
MVI_40204,35,0,long,131,5.24,no_before,,,0.3053,131,partial,UKF init=0.10 (goc)
MVI_40204,36,0,long,52,2.08,lost,150.0,,0.0,116,partial,UKF init=0.10 (goc)
MVI_40204,39,0,medium,22,0.88,lost,227.0,,0.0,111,partial,UKF init=0.10 (goc)
MVI_40204,40,0,long,39,1.56,lost,169.0,,0.0,151,partial,UKF init=0.10 (goc)
MVI_40204,46,0,long,141,5.64,no_before,,,0.6454,141,partial,UKF init=0.10 (goc)
MVI_40204,49,0,long,46,1.84,preserved,231.0,231.0,0.7391,151,partial,UKF init=0.10 (goc)
MVI_40204,50,0,long,121,4.84,no_before,,,0.3967,121,partial,UKF init=0.10 (goc)
MVI_40204,51,0,long,131,5.24,no_before,,,0.3359,131,partial,UKF init=0.10 (goc)
MVI_40204,52,0,short,2,0.08,preserved,250.0,250.0,1.0,131,partial,UKF init=0.10 (goc)
MVI_40204,60,0,long,131,5.24,no_before,,,0.313,131,partial,UKF init=0.10 (goc)
MVI_40204,63,0,long,39,1.56,switched,360.0,411.0,0.5897,141,partial,UKF init=0.10 (goc)
MVI_40204,64,0,long,130,5.2,no_before,,,0.5769,131,partial,UKF init=0.10 (goc)
MVI_40204,65,0,long,141,5.64,no_before,,,0.1206,141,partial,UKF init=0.10 (goc)
MVI_40204,67,0,long,58,2.32,lost,433.0,,0.0517,131,partial,UKF init=0.10 (goc)
MVI_40204,68,0,medium,15,0.6,lost,458.0,,0.0,126,partial,UKF init=0.10 (goc)
MVI_40204,71,0,long,116,4.64,no_before,,,0.2672,116,partial,UKF init=0.10 (goc)
MVI_40204,72,0,medium,33,1.32,preserved,504.0,504.0,1.0,141,partial,UKF init=0.10 (goc)
MVI_40204,73,0,long,136,5.44,no_before,,,0.3088,136,partial,UKF init=0.10 (goc)
MVI_40204,74,0,long,116,4.64,no_before,,,0.4483,116,partial,UKF init=0.10 (goc)
MVI_40204,78,0,medium,19,0.76,lost,553.0,,0.2632,131,partial,UKF init=0.10 (goc)
MVI_40204,81,0,long,141,5.64,no_before,,,0.2979,141,partial,UKF init=0.10 (goc)
MVI_40204,82,0,short,8,0.32,preserved,590.0,590.0,1.0,136,partial,UKF init=0.10 (goc)
MVI_40204,82,1,long,40,1.6,lost,590.0,,0.825,136,partial,UKF init=0.10 (goc)
MVI_40204,85,0,long,141,5.64,no_before,,,0.5319,141,partial,UKF init=0.10 (goc)
MVI_40204,86,0,long,114,4.56,lost,631.0,,0.3158,136,partial,UKF init=0.10 (goc)
MVI_40204,88,0,long,146,5.84,no_before,,,0.1233,146,partial,UKF init=0.10 (goc)
MVI_40204,90,0,long,146,5.84,no_before,,,0.6918,146,partial,UKF init=0.10 (goc)
MVI_40204,92,0,long,41,1.64,no_before,,,0.9512,156,partial,UKF init=0.10 (goc)
MVI_40204,93,0,long,112,4.48,lost,687.0,,0.5,131,partial,UKF init=0.10 (goc)
MVI_40204,96,0,long,82,3.28,switched,703.0,807.0,0.7195,161,partial,UKF init=0.10 (goc)
MVI_40204,98,0,long,156,6.24,no_before,,,0.5705,156,partial,UKF init=0.10 (goc)
MVI_40204,99,0,short,11,0.44,no_before,,,0.8182,151,partial,UKF init=0.10 (goc)
MVI_40204,106,0,long,51,2.04,no_before,,,0.6275,126,partial,UKF init=0.10 (goc)
MVI_40204,106,1,long,70,2.8,lost,812.0,,0.4,126,partial,UKF init=0.10 (goc)
MVI_40204,108,0,long,151,6.04,no_before,,,0.4238,151,partial,UKF init=0.10 (goc)
MVI_40204,110,0,long,75,3.0,lost,817.0,,0.1733,131,partial,UKF init=0.10 (goc)
MVI_40204,112,0,long,40,1.6,no_before,,,0.0,146,partial,UKF init=0.10 (goc)
MVI_40204,115,0,long,71,2.84,preserved,848.0,848.0,0.8169,151,partial,UKF init=0.10 (goc)
MVI_40204,115,1,short,4,0.16,lost,848.0,,0.0,151,partial,UKF init=0.10 (goc)
MVI_40204,116,0,long,146,5.84,no_before,,,0.0,146,partial,UKF init=0.10 (goc)
MVI_40204,117,0,medium,31,1.24,lost,857.0,,0.2581,141,partial,UKF init=0.10 (goc)
MVI_40204,117,1,short,9,0.36,lost,857.0,,0.0,141,partial,UKF init=0.10 (goc)
MVI_40204,119,0,long,66,2.64,lost,866.0,,0.1061,151,partial,UKF init=0.10 (goc)
MVI_40204,120,0,long,62,2.48,lost,896.0,,0.6613,156,partial,UKF init=0.10 (goc)
MVI_40204,121,0,medium,21,0.84,no_before,,,0.9048,156,partial,UKF init=0.10 (goc)
MVI_40204,122,0,long,141,5.64,no_before,,,0.1135,141,partial,UKF init=0.10 (goc)
MVI_40204,126,0,long,43,1.72,switched,944.0,1071.0,0.5349,166,partial,UKF init=0.10 (goc)
MVI_40204,126,1,short,4,0.16,no_before,,,0.0,166,partial,UKF init=0.10 (goc)
MVI_40204,127,0,short,5,0.2,no_before,,,0.4,161,partial,UKF init=0.10 (goc)
MVI_40204,128,0,medium,18,0.72,preserved,966.0,966.0,1.0,131,partial,UKF init=0.10 (goc)
MVI_40204,128,1,long,98,3.92,lost,966.0,,0.2959,131,partial,UKF init=0.10 (goc)
MVI_40204,129,0,long,156,6.24,no_before,,,0.2564,156,partial,UKF init=0.10 (goc)
MVI_40204,133,0,long,53,2.12,lost,994.0,,0.283,106,partial,UKF init=0.10 (goc)
MVI_40204,135,0,long,75,3.0,lost,1009.0,,0.1333,141,partial,UKF init=0.10 (goc)
MVI_40204,137,0,long,63,2.52,lost,1040.0,,0.2857,126,partial,UKF init=0.10 (goc)
MVI_40204,138,0,short,7,0.28,lost,1210.0,,0.0,166,partial,UKF init=0.10 (goc)
MVI_40204,142,0,long,145,5.8,no_before,,,0.8345,146,partial,UKF init=0.10 (goc)
MVI_40204,145,0,long,146,5.84,no_before,,,0.5411,161,partial,UKF init=0.10 (goc)
MVI_40204,148,0,long,110,4.4,lost,1142.0,,0.3,151,partial,UKF init=0.10 (goc)
MVI_40204,149,0,long,72,2.88,lost,1157.0,,0.1667,161,partial,UKF init=0.10 (goc)
MVI_40204,150,0,long,146,5.84,no_before,,,0.7192,146,partial,UKF init=0.10 (goc)
MVI_40204,153,0,long,129,5.16,lost,1177.0,,0.4574,171,partial,UKF init=0.10 (goc)
MVI_40204,154,0,medium,28,1.12,no_before,,,0.5714,166,partial,UKF init=0.10 (goc)
MVI_40204,158,0,medium,31,1.24,no_before,,,0.0,175,partial,UKF init=0.10 (goc)
MVI_40204,161,0,medium,22,0.88,no_before,,,0.8636,170,partial,UKF init=0.10 (goc)
MVI_40204,161,1,long,67,2.68,lost,1235.0,,0.1642,170,partial,UKF init=0.10 (goc)
MVI_40204,162,0,long,151,6.04,no_before,,,0.0331,151,partial,UKF init=0.10 (goc)
MVI_40204,165,1,long,139,5.56,lost,1265.0,,0.6259,145,partial,UKF init=0.10 (goc)
MVI_40204,168,0,long,120,4.8,no_before,,,0.725,120,partial,UKF init=0.10 (goc)
MVI_40204,173,0,long,65,2.6,no_before,,,0.9692,65,partial,UKF init=0.10 (goc)
MVI_40204,177,0,medium,20,0.8,no_before,,,0.6,20,partial,UKF init=0.10 (goc)
MVI_40751,2,0,long,72,2.88,switched,1.0,28.0,0.0833,1140,partial,UKF init=0.10 (goc)
MVI_40751,2,1,long,175,7.0,switched,28.0,372.0,0.6514,1140,partial,UKF init=0.10 (goc)
MVI_40751,2,2,short,9,0.36,preserved,372.0,372.0,1.0,1140,partial,UKF init=0.10 (goc)
MVI_40751,2,3,short,6,0.24,preserved,372.0,372.0,1.0,1140,partial,UKF init=0.10 (goc)
MVI_40751,2,4,long,410,16.4,preserved,372.0,372.0,1.0,1140,partial,UKF init=0.10 (goc)
MVI_40751,3,0,long,58,2.32,no_before,,,0.9655,81,partial,UKF init=0.10 (goc)
MVI_40751,4,1,long,46,1.84,preserved,2.0,2.0,1.0,141,partial,UKF init=0.10 (goc)
MVI_40751,5,0,medium,19,0.76,no_before,,,0.0,146,partial,UKF init=0.10 (goc)
MVI_40751,7,0,medium,19,0.76,no_before,,,0.0,186,partial,UKF init=0.10 (goc)
MVI_40751,7,1,medium,14,0.56,preserved,65.0,65.0,1.0,186,partial,UKF init=0.10 (goc)
MVI_40751,7,3,long,97,3.88,preserved,65.0,65.0,1.0,186,partial,UKF init=0.10 (goc)
MVI_40751,8,1,short,4,0.16,preserved,117.0,117.0,1.0,920,partial,UKF init=0.10 (goc)
MVI_40751,8,2,short,5,0.2,preserved,117.0,117.0,1.0,920,partial,UKF init=0.10 (goc)
MVI_40751,8,3,short,10,0.4,preserved,117.0,117.0,1.0,920,partial,UKF init=0.10 (goc)
MVI_40751,8,4,medium,24,0.96,preserved,117.0,117.0,1.0,920,partial,UKF init=0.10 (goc)
MVI_40751,8,5,long,591,23.64,lost,117.0,,0.7783,920,partial,UKF init=0.10 (goc)
MVI_40751,9,0,medium,34,1.36,preserved,156.0,156.0,1.0,96,partial,UKF init=0.10 (goc)
MVI_40751,11,0,medium,32,1.28,no_before,,,0.4062,156,partial,UKF init=0.10 (goc)
MVI_40751,11,1,long,89,3.56,preserved,179.0,179.0,0.9663,156,partial,UKF init=0.10 (goc)
MVI_40751,15,0,long,223,8.92,lost,185.0,,1.0,775,partial,UKF init=0.10 (goc)
MVI_40751,21,0,short,5,0.2,no_before,,,0.0,625,partial,UKF init=0.10 (goc)
MVI_40751,21,1,long,612,24.48,lost,328.0,,0.0294,625,partial,UKF init=0.10 (goc)
MVI_40751,23,0,short,11,0.44,preserved,358.0,358.0,1.0,66,partial,UKF init=0.10 (goc)
MVI_40751,23,1,short,4,0.16,preserved,358.0,358.0,1.0,66,partial,UKF init=0.10 (goc)
MVI_40751,28,0,short,3,0.12,preserved,438.0,438.0,1.0,405,partial,UKF init=0.10 (goc)
MVI_40751,28,1,medium,15,0.6,preserved,438.0,438.0,1.0,405,partial,UKF init=0.10 (goc)
MVI_40751,29,0,medium,23,0.92,preserved,460.0,460.0,1.0,370,partial,UKF init=0.10 (goc)
MVI_40751,31,0,long,41,1.64,no_before,,,0.7073,43,partial,UKF init=0.10 (goc)
MVI_40751,32,0,long,172,6.88,switched,486.0,520.0,0.8721,266,partial,UKF init=0.10 (goc)
MVI_40751,33,0,medium,14,0.56,preserved,500.0,500.0,1.0,270,partial,UKF init=0.10 (goc)
MVI_40751,35,0,medium,23,0.92,lost,528.0,,1.0,156,partial,UKF init=0.10 (goc)
MVI_40751,36,0,long,77,3.08,lost,538.0,,1.0,195,partial,UKF init=0.10 (goc)
MVI_40751,38,0,medium,13,0.52,preserved,556.0,556.0,1.0,140,partial,UKF init=0.10 (goc)
MVI_40751,38,1,long,49,1.96,lost,556.0,,1.0,140,partial,UKF init=0.10 (goc)
MVI_40751,41,0,long,45,1.8,no_before,,,0.3111,45,partial,UKF init=0.10 (goc)
MVI_63554,3,0,short,11,0.44,no_before,,,0.6364,11,partial,UKF init=0.10 (goc)
MVI_63554,4,0,medium,26,1.04,no_before,,,0.0,26,partial,UKF init=0.10 (goc)
MVI_63554,5,0,long,40,1.6,no_before,,,0.925,41,partial,UKF init=0.10 (goc)
MVI_63554,8,0,medium,13,0.52,no_before,,,0.3846,16,partial,UKF init=0.10 (goc)
MVI_63554,9,0,long,55,2.2,lost,16.0,,0.0727,61,partial,UKF init=0.10 (goc)
MVI_63554,11,0,long,52,2.08,lost,30.0,,0.0577,61,partial,UKF init=0.10 (goc)
MVI_63554,13,0,medium,16,0.64,no_before,,,0.25,26,partial,UKF init=0.10 (goc)
MVI_63554,15,0,long,65,2.6,lost,46.0,,0.9692,76,partial,UKF init=0.10 (goc)
MVI_63554,19,0,long,62,2.48,switched,66.0,74.0,0.8548,81,partial,UKF init=0.10 (goc)
MVI_63554,20,0,long,57,2.28,lost,68.0,,0.0,66,partial,UKF init=0.10 (goc)
MVI_63554,22,0,long,61,2.44,no_before,,,0.3443,61,partial,UKF init=0.10 (goc)
MVI_63554,23,0,long,45,1.8,switched,82.0,93.0,0.7556,81,partial,UKF init=0.10 (goc)
MVI_63554,24,0,short,11,0.44,no_before,,,0.1818,21,partial,UKF init=0.10 (goc)
MVI_63554,25,0,long,51,2.04,no_before,,,0.1176,56,partial,UKF init=0.10 (goc)
MVI_63554,30,0,long,74,2.96,lost,133.0,,0.2027,81,partial,UKF init=0.10 (goc)
MVI_63554,31,0,long,76,3.04,no_before,,,0.5263,76,partial,UKF init=0.10 (goc)
MVI_63554,32,0,long,64,2.56,lost,138.0,,0.0938,71,partial,UKF init=0.10 (goc)
MVI_63554,33,0,long,45,1.8,lost,147.0,,0.9556,81,partial,UKF init=0.10 (goc)
MVI_63554,35,0,medium,16,0.64,no_before,,,0.8125,86,partial,UKF init=0.10 (goc)
MVI_63554,36,0,long,59,2.36,lost,170.0,,0.0678,66,partial,UKF init=0.10 (goc)
MVI_63554,41,0,medium,25,1.0,lost,194.0,,0.56,91,partial,UKF init=0.10 (goc)
MVI_63554,42,0,short,11,0.44,no_before,,,0.1818,16,partial,UKF init=0.10 (goc)
MVI_63554,43,0,long,62,2.48,lost,198.0,,0.0806,71,partial,UKF init=0.10 (goc)
MVI_63554,44,0,long,64,2.56,lost,202.0,,0.7812,71,partial,UKF init=0.10 (goc)
MVI_63554,47,0,long,59,2.36,lost,209.0,,0.1356,66,partial,UKF init=0.10 (goc)
MVI_63554,49,0,long,54,2.16,lost,220.0,,0.8333,81,partial,UKF init=0.10 (goc)
MVI_63554,50,0,long,63,2.52,lost,222.0,,0.254,71,partial,UKF init=0.10 (goc)
MVI_63554,51,0,short,11,0.44,no_before,,,0.0,21,partial,UKF init=0.10 (goc)
MVI_63554,55,0,long,62,2.48,lost,281.0,,0.7903,71,partial,UKF init=0.10 (goc)
MVI_63554,56,0,long,48,1.92,no_before,,,0.0,51,partial,UKF init=0.10 (goc)
MVI_63554,58,0,medium,21,0.84,preserved,292.0,292.0,0.9524,41,partial,UKF init=0.10 (goc)
MVI_63554,60,0,medium,13,0.52,no_before,,,0.2308,21,partial,UKF init=0.10 (goc)
MVI_63554,61,0,long,63,2.52,no_before,,,0.5079,66,partial,UKF init=0.10 (goc)
MVI_63554,62,0,short,5,0.2,preserved,309.0,309.0,1.0,66,partial,UKF init=0.10 (goc)
MVI_63554,62,1,medium,35,1.4,lost,309.0,,0.5429,66,partial,UKF init=0.10 (goc)
MVI_63554,63,0,long,60,2.4,lost,314.0,,0.7,66,partial,UKF init=0.10 (goc)
MVI_63554,64,0,long,42,1.68,no_before,,,0.0238,46,partial,UKF init=0.10 (goc)
MVI_63554,68,0,long,57,2.28,lost,344.0,,0.0702,66,partial,UKF init=0.10 (goc)
MVI_63554,69,0,medium,16,0.64,no_before,,,0.5625,26,partial,UKF init=0.10 (goc)
MVI_63554,72,0,medium,20,0.8,lost,358.0,,0.35,101,partial,UKF init=0.10 (goc)
MVI_63554,73,0,long,50,2.0,preserved,361.0,361.0,0.88,61,partial,UKF init=0.10 (goc)
MVI_63554,76,0,medium,13,0.52,no_before,,,0.3077,21,partial,UKF init=0.10 (goc)
MVI_63554,77,0,long,56,2.24,lost,371.0,,0.0714,61,partial,UKF init=0.10 (goc)
MVI_63554,79,0,long,61,2.44,no_before,,,0.3934,71,partial,UKF init=0.10 (goc)
MVI_63554,80,0,long,55,2.2,lost,379.0,,0.8364,61,partial,UKF init=0.10 (goc)
MVI_63554,81,0,short,10,0.4,no_before,,,0.5,81,partial,UKF init=0.10 (goc)
MVI_63554,82,0,long,53,2.12,no_before,,,0.0755,56,partial,UKF init=0.10 (goc)
MVI_63554,83,0,medium,15,0.6,no_before,,,0.1333,21,partial,UKF init=0.10 (goc)
MVI_63554,86,0,long,49,1.96,no_before,,,0.0,56,partial,UKF init=0.10 (goc)
MVI_63554,87,0,medium,31,1.24,preserved,408.0,408.0,0.871,61,partial,UKF init=0.10 (goc)
MVI_63554,88,0,medium,13,0.52,no_before,,,0.2308,16,partial,UKF init=0.10 (goc)
MVI_63554,90,0,medium,20,0.8,lost,420.0,,0.85,86,partial,UKF init=0.10 (goc)
MVI_63554,92,0,long,50,2.0,lost,426.0,,0.1,56,partial,UKF init=0.10 (goc)
MVI_63554,93,0,long,39,1.56,preserved,432.0,432.0,0.7949,71,partial,UKF init=0.10 (goc)
MVI_63554,93,3,short,9,0.36,lost,432.0,,0.0,71,partial,UKF init=0.10 (goc)
MVI_63554,94,0,medium,26,1.04,preserved,434.0,434.0,1.0,56,partial,UKF init=0.10 (goc)
MVI_63554,95,0,long,51,2.04,preserved,442.0,442.0,0.7059,81,partial,UKF init=0.10 (goc)
MVI_63554,96,0,medium,15,0.6,no_before,,,0.0667,26,partial,UKF init=0.10 (goc)
MVI_63554,98,0,long,64,2.56,lost,451.0,,0.7188,71,partial,UKF init=0.10 (goc)
MVI_63554,99,0,medium,15,0.6,no_before,,,0.6667,26,partial,UKF init=0.10 (goc)
MVI_63554,101,0,long,48,1.92,no_before,,,0.0417,51,partial,UKF init=0.10 (goc)
MVI_63554,102,0,medium,14,0.56,no_before,,,0.0714,26,partial,UKF init=0.10 (goc)
MVI_63554,103,0,medium,17,0.68,lost,492.0,,0.5294,71,partial,UKF init=0.10 (goc)
MVI_63554,105,0,long,61,2.44,lost,496.0,,0.7541,66,partial,UKF init=0.10 (goc)
MVI_63554,108,0,long,44,1.76,no_before,,,0.0,51,partial,UKF init=0.10 (goc)
MVI_63554,109,0,medium,18,0.72,no_before,,,0.2778,31,partial,UKF init=0.10 (goc)
MVI_63554,112,0,medium,31,1.24,no_before,,,0.6129,61,partial,UKF init=0.10 (goc)
MVI_63554,115,0,long,53,2.12,lost,553.0,,0.0943,61,partial,UKF init=0.10 (goc)
MVI_63554,116,0,medium,15,0.6,no_before,,,0.2,26,partial,UKF init=0.10 (goc)
MVI_63554,117,0,long,53,2.12,lost,560.0,,0.4528,61,partial,UKF init=0.10 (goc)
MVI_63554,120,0,medium,15,0.6,no_before,,,0.2,26,partial,UKF init=0.10 (goc)
MVI_63554,123,0,long,60,2.4,no_before,,,0.4,61,partial,UKF init=0.10 (goc)
MVI_63554,124,0,long,54,2.16,no_before,,,0.1111,61,partial,UKF init=0.10 (goc)
MVI_63554,126,0,medium,37,1.48,lost,605.0,,0.9189,56,partial,UKF init=0.10 (goc)
MVI_63554,129,0,medium,13,0.52,no_before,,,0.3846,21,partial,UKF init=0.10 (goc)
MVI_63554,132,0,short,12,0.48,no_before,,,0.4167,26,partial,UKF init=0.10 (goc)
MVI_63554,134,0,long,55,2.2,lost,656.0,,0.6909,61,partial,UKF init=0.10 (goc)
MVI_63554,137,0,short,12,0.48,no_before,,,0.1667,16,partial,UKF init=0.10 (goc)
MVI_63554,139,0,long,48,1.92,lost,678.0,,0.875,56,partial,UKF init=0.10 (goc)
MVI_63554,142,0,medium,15,0.6,no_before,,,0.4,26,partial,UKF init=0.10 (goc)
MVI_63554,143,0,long,57,2.28,lost,688.0,,0.8772,66,partial,UKF init=0.10 (goc)
MVI_63554,147,0,long,39,1.56,lost,701.0,,0.0769,46,partial,UKF init=0.10 (goc)
MVI_63554,148,0,short,8,0.32,preserved,698.0,698.0,1.0,56,partial,UKF init=0.10 (goc)
MVI_63554,151,0,short,12,0.48,no_before,,,0.5833,21,partial,UKF init=0.10 (goc)
MVI_63554,152,0,short,10,0.4,preserved,716.0,716.0,1.0,61,partial,UKF init=0.10 (goc)
MVI_63554,152,1,short,2,0.08,preserved,716.0,716.0,1.0,61,partial,UKF init=0.10 (goc)
MVI_63554,152,2,short,5,0.2,lost,716.0,,0.0,61,partial,UKF init=0.10 (goc)
MVI_63554,153,0,medium,14,0.56,no_before,,,0.3571,20,partial,UKF init=0.10 (goc)
MVI_63554,155,0,long,49,1.96,lost,724.0,,0.0816,56,partial,UKF init=0.10 (goc)
MVI_63554,158,0,long,54,2.16,lost,739.0,,0.8889,66,partial,UKF init=0.10 (goc)
